JOURNAL_TITLE,JOURNAL_SUBJECTS
SAINTEKBU,"Computer Science & IT, Control & Systems Engineering, Library & Information Science"
Jurnal TIKA,Computer Science & IT
Jurnal Teknovasi : Jurnal Teknik dan Inovasi,"Aerospace Engineering, Agriculture, Biological Sciences & Forestry, Computer Science & IT, Engineering, Industrial & Manufacturing Engineering, Materials Science & Nanotechnology"
Ecosystem,"Computer Science & IT, Electrical & Electronics Engineering, Engineering, Social Sciences"
Informasi Interaktif,Computer Science & IT
Journal Information System Development (ISD),Computer Science & IT
Jurnal Informatika Global,Computer Science & IT
Jurnal Informatika Upgris,Computer Science & IT
Informasi Interaktif,Computer Science & IT
Jurnal Informatika Global,Computer Science & IT
INAQUE: Journal of Industrial & Quality Engineering,"Computer Science & IT, Economics, Econometrics & Finance, Engineering, Industrial & Manufacturing Engineering, Mechanical Engineering"
Jurnal Mantik Penusa,"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management"
Majalah Ilmiah UNIKOM,"Arts, Humanities, Computer Science & IT, Engineering, Law, Crime, Criminology & Criminal Justice, Social Sciences"
Jurnal Algoritma,Computer Science & IT
Jurnal Teknologi Informasi dan Komputer,"Computer Science & IT, Control & Systems Engineering, Economics, Econometrics & Finance, Education, Engineering, Social Sciences"
Jurnal Teknologi Informasi,Computer Science & IT
INTEKNA,"Computer Science & IT, Economics, Econometrics & Finance, Electrical & Electronics Engineering, Other"
IKRA-ITH ABDIMAS,Computer Science & IT
IKRA-ITH ABDIMAS,Computer Science & IT
INTEKNA,"Computer Science & IT, Economics, Econometrics & Finance, Electrical & Electronics Engineering, Other"
IKRA-ITH ABDIMAS,Computer Science & IT
Journal of Mathematical and Fundamental Sciences,Mathematics
International Journal on Emerging Mathematics Education,Education
Journal of Research and Advances in Mathematics Education,"Education, Mathematics"
Al-Jabar : Jurnal Pendidikan Matematika,"Education, Mathematics"
Jurnal Riset Pendidikan Matematika,"Decision Sciences, Operations Research & Management , Education, Mathematics"
International Journal of Education,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Mathematics, Physics, Social Sciences"
Journal of Education and Learning,"Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Mathematics, Social Sciences"
Jurnal Inovasi Pendidikan IPA,"Agriculture, Biological Sciences & Forestry, Education, Mathematics"
International Journal of Computing Science and Applied Mathematics,"Computer Science & IT, Education, Mathematics"
ASEAN Journal on Science and Technology for Development,"Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Computer Science & IT, Mathematics"
"ComTech: Computer, Mathematics and Engineering Applications","Computer Science & IT, Engineering, Mathematics"
Limits: Journal of Mathematics and Its Applications,Mathematics
JURNAL ILMIAH GEOMATIKA,"Earth & Planetary Sciences, Mathematics"
Jurnal Pendidikan Matematika,"Education, Mathematics"
Journal of the Indonesian Mathematical Society,Mathematics
AKSIOMA JURNAL PENDIDIKAN MATEMATIKA,"Education, Mathematics"
Jurnal Aplikasi Statistika & Komputasi Statistik,"Computer Science & IT, Decision Sciences, Operations Research & Management , Mathematics"
Journal of Medives,"Education, Mathematics"
JNPM (Jurnal Nasional Pendidikan Matematika),"Education, Mathematics"
Jurnal Mosharafa,"Education, Mathematics"
KALAMATIKA Jurnal Pendidikan Matematika,"Education, Mathematics"
Desimal: Jurnal Matematika,"Education, Mathematics, Social Sciences"
SJME (Supremum Journal of Mathematics Education),"Education, Mathematics, Social Sciences"
MaPan : Jurnal Matematika dan Pembelajaran,"Education, Mathematics"
NUMERICAL (Jurnal Matematika dan Pendidikan Matematika),Mathematics
Teorema: Teori dan Riset Matematika,"Education, Mathematics"
CAUCHY,Mathematics
Jurnal Gantang,"Education, Mathematics"
Jurnal Matematika: MANTIK,Mathematics
Kreano,Mathematics
"ComTech: Computer, Mathematics and Engineering Applications","Computer Science & IT, Engineering, Mathematics"
FIBONACCI: Jurnal Pendidikan Matematika dan Matematika,"Education, Mathematics"
ELSE (Elementary School Education Journal) : Jurnal Pendidikan dan Pembelajaran Sekolah Dasar,"Education, Mathematics, Social Sciences"
