JOURNAL_TITLE,JOURNAL_SUBJECTS
Industria: Jurnal Teknologi dan Manajemen Agroindustri,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance, Engineering, Environmental Science, Industrial & Manufacturing Engineering, Materials Science & Nanotechnology, Medicine & Pharmacology, Other"
JURNAL SELULOSA,Education
Sosiohumaniora,"Arts, Humanities, Economics, Econometrics & Finance, Law, Crime, Criminology & Criminal Justice, Social Sciences"
Bulletin of Post and Telecommunications,"Computer Science & IT, Electrical & Electronics Engineering, Social Sciences, Transportation"
Jurnal Manajemen Indonesia,
ASEAN Journal on Science and Technology for Development,"Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Computer Science & IT, Mathematics"
Konselor,Education
MIMBAR: Jurnal Sosial dan Pembangunan,Social Sciences
Tadib,Education
Mozaik Humaniora,"Humanities, Languange, Linguistic, Communication & Media"
Kwangsan: Jurnal Teknologi Pendidikan,"Education, Languange, Linguistic, Communication & Media"
JEJAK,"Economics, Econometrics & Finance"
"Journal of Geoscience, Engineering, Environment, and Technology","Earth & Planetary Sciences, Engineering, Environmental Science, Physics"
JURNAL ILMU LINGKUNGAN,Environmental Science
Jurnal Ilmu Keluarga & Konsumen,Social Sciences
Alchemy Jurnal Penelitian Kimia,"Chemical Engineering, Chemistry & Bioengineering, Energy, Environmental Science, Materials Science & Nanotechnology"
Patanjala : Jurnal Penelitian Sejarah dan Budaya,"Arts, Humanities"
Indonesian Journal of English Language Teaching and Applied Linguistics,"Languange, Linguistic, Communication & Media"
Unnes Journal of Public Health,Public Health
Interiority,"Arts, Humanities, Civil Engineering, Building, Construction & Architecture, Social Sciences"
Nurse Media Journal of Nursing,Nursing
Jurnal Bahan Alam Terbarukan,Materials Science & Nanotechnology
Jurnal Wawasan Yuridika,"Economics, Econometrics & Finance, Law, Crime, Criminology & Criminal Justice"
Diponegoro Law Review,"Law, Crime, Criminology & Criminal Justice"
Jurnal Tata Kelola & Akuntabilitas Keuangan Negara,"Economics, Econometrics & Finance, Social Sciences"
Langkawi: Journal of The Association for Arabic and English,"Education, Languange, Linguistic, Communication & Media, Library & Information Science, Social Sciences"
Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),"Computer Science & IT, Engineering"
Indonesian Journal of Tropical and Infectious Disease,"Earth & Planetary Sciences, Health Professions, Medicine & Pharmacology, Public Health"
"EDULITE: Journal of English Education, Literature and Culture",Education
MAJALAH ILMIAH GLOBE,"Earth & Planetary Sciences, Education"
Ahkam: Jurnal Hukum Islam,"Law, Crime, Criminology & Criminal Justice"
"ComTech: Computer, Mathematics and Engineering Applications","Computer Science & IT, Engineering, Mathematics"
Jurnal Sosial Ekonomi Kelautan dan Perikanan,"Agriculture, Biological Sciences & Forestry, Economics, Econometrics & Finance, Environmental Science, Social Sciences"
Jurnal Humaniora,"Arts, Humanities"
The Asian Journal of Technology Management (AJTM),"Decision Sciences, Operations Research & Management"
Teosofi: Jurnal Tasawuf dan Pemikiran Islam,"Religion, Social Sciences"
Jurnal Perlindungan Tanaman Indonesia,"Agriculture, Biological Sciences & Forestry"
Dinamika Kerajinan dan Batik: MAJALAH ILMIAH,
Kandai,"Arts, Humanities, Languange, Linguistic, Communication & Media"
MUDRA,"Arts, Humanities"
Jurnal Biodjati,"Biochemistry, Genetics & Molecular Biology, Earth & Planetary Sciences"
"Masyarakat, Kebudayaan dan Politik","Arts, Humanities"
TEKNIK,Engineering
INFERENSI,"Economics, Econometrics & Finance, Education, Law, Crime, Criminology & Criminal Justice"
AGRARIS: Journal of Agribusiness and Rural Development Research,"Agriculture, Biological Sciences & Forestry, Economics, Econometrics & Finance, Social Sciences"
JURNAL SISTEM INFORMASI BISNIS,"Computer Science & IT, Economics, Econometrics & Finance"
Religi: Jurnal Studi Agama-agama,"Religion, Social Sciences, Other"
Jurnal Keperawatan Padjadjaran,"Health Professions, Neuroscience, Nursing, Public Health"
Jurnal HAM,"Law, Crime, Criminology & Criminal Justice"
Jurnal Sosioteknologi,"Engineering, Social Sciences"
Harmonia: Jurnal Pengetahuan dan Pemikiran Seni,"Arts, Humanities"
Jurnal Pendidikan Agama Islam (Journal of Islamic Education Studies),"Arts, Humanities, Education, Social Sciences"
Politika: Jurnal Ilmu Politik,"Humanities, Environmental Science, Social Sciences"
Limits: Journal of Mathematics and Its Applications,Mathematics
Malang Neurology Journal,Neuroscience
Journal of Information Systems Engineering and Business Intelligence,Computer Science & IT
MASALAH-MASALAH HUKUM,"Law, Crime, Criminology & Criminal Justice"
Humaniora,Humanities
Jurnal Lektur Keagamaan,"Religion, Social Sciences"
JASF (Journal of Accounting and Strategic Finance),"Economics, Econometrics & Finance, Education, Environmental Science, Social Sciences, Other"
ILMU KELAUTAN: Indonesian Journal of Marine Sciences,Earth & Planetary Sciences
FIKRAH,"Religion, Arts, Humanities, Education"
PHARMACIANA,Medicine & Pharmacology
Cosmogov: Jurnal Ilmu Pemerintahan,Social Sciences
Hayula: Indonesian Journal of Multidisciplinary Islamic Studies,"Religion, Social Sciences"
Jurnal Ilmiah Teknik Industri,Industrial & Manufacturing Engineering
Jurnal Ekonomi & Studi Pembangunan,"Economics, Econometrics & Finance"
Dinamika Ilmu,"Education, Languange, Linguistic, Communication & Media, Social Sciences"
Warta Perkaretan,"Agriculture, Biological Sciences & Forestry"
Journal of Tropical Biodiversity and Biotechnology,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Environmental Science, Immunology & microbiology"
Jurnal Sejarah Citra Lekha,"Arts, Humanities"
Jurnal Ilmiah Akuntansi dan Bisnis,"Economics, Econometrics & Finance"
Jurnal Fitopatologi Indonesia,Medicine & Pharmacology
Script Journal: Journal of Linguistic and English Teaching,"Languange, Linguistic, Communication & Media"
Global Medical & Health Communication (GMHC),"Medicine & Pharmacology, Public Health"
Jurnal Manajemen dan Agribisnis,"Agriculture, Biological Sciences & Forestry, Economics, Econometrics & Finance"
Jurnal Dinamika Hukum,"Law, Crime, Criminology & Criminal Justice"
Profetik: Jurnal Komunikasi,"Library & Information Science, Social Sciences"
Sinergi,"Engineering, Mechanical Engineering"
Jurnal Akuntansi & Auditing Indonesia,"Economics, Econometrics & Finance"
Jurnal Ekonomi Kuantitatif Terapan,"Economics, Econometrics & Finance"
Jurnal Ekonomi dan Studi Pembangunan (Journal of Economics and Development Studies),"Economics, Econometrics & Finance"
Media Akuakultur,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Omni-Akuatika,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Environmental Science"
Jurnal Farmasi Klinik Indonesia,
Jurnal Keolahragaan,Health Professions
Panggung,Education
Jurnal Dinamika Penelitian Industri,Industrial & Manufacturing Engineering
Jurnal Bisnis dan Manajemen,"Economics, Econometrics & Finance"
JURNAL ILMU SOSIAL,Social Sciences
Sriwijaya Law Review,"Decision Sciences, Operations Research & Management , Law, Crime, Criminology & Criminal Justice"
Journal of Governance,Environmental Science
Al-Balagh: Jurnal Dakwah dan Komunikasi,"Religion, Humanities, Languange, Linguistic, Communication & Media"
Jurnal Hubungan Internasional,"Languange, Linguistic, Communication & Media, Library & Information Science"
MADANIA: JURNAL KAJIAN KEISLAMAN,"Religion, Education"
Caraka Tani: Journal of Sustainable Agriculture,"Agriculture, Biological Sciences & Forestry"
