JOURNAL_TITLE,JOURNAL_SUBJECTS
Lingua Didaktika: Jurnal Bahasa dan Pembelajaran Bahasa,"Education, Languange, Linguistic, Communication & Media"
Jurnal Sejarah dan Budaya,"Education, Social Sciences"
JURNAL DIVERSITA,"Education, Neuroscience, Social Sciences"
Cakrawala Dini: Jurnal Pendidikan Anak Usia Dini,Education
AL QUDS : Jurnal Studi Alquran dan Hadis,"Religion, Arts, Humanities, Education"
NUANSA: Jurnal Penelitian Ilmu Sosial dan Keagamaan Islam,"Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Law, Crime, Criminology & Criminal Justice, Social Sciences"
Jurnal Ekonomi Kesehatan Indonesia,"Education, Environmental Science, Health Professions, Public Health"
AGASTYA: JURNAL SEJARAH DAN PEMBELAJARANNYA,"Arts, Humanities, Education, Social Sciences"
Teknologi Kejuruan,"Education, Engineering"
JURNAL KONSELING GUSJIGANG,"Education, Social Sciences"
Scientiae Educatia,Education
Journal of Dedicators Community,"Arts, Humanities, Education, Public Health, Social Sciences"
Jurnal Moral Kemasyarakatan,"Education, Social Sciences"
Al Mahara: Jurnal Pendidikan Bahasa Arab,"Education, Languange, Linguistic, Communication & Media"
Jurnal Inovasi Pendidikan Dasar,Education
Journal of Biology Education,"Biochemistry, Genetics & Molecular Biology, Education"
Ijtima'iyya: Journal of Muslim Society Research,"Arts, Humanities, Economics, Econometrics & Finance, Education, Law, Crime, Criminology & Criminal Justice, Social Sciences"
BAREKENG: JURNAL ILMU MATEMATIKA DAN TERAPAN,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Engineering, Mathematics"
Kelola: Jurnal Manajemen Pendidikan,Education
Jurnal Visipena,Education
RechtIdee,Education
Logic : Jurnal Rancang Bangun dan Teknologi,"Computer Science & IT, Education"
JURNAL ECONOMICA : Research of Economic And Economic Education,"Economics, Econometrics & Finance, Education"
Jurnal Penelitian Ekosistem Dipterokarpa,"Earth & Planetary Sciences, Education"
Perspektif,Education
Veritas : Jurnal Teologi dan Pelayanan,"Religion, Humanities, Education"
AT-TURAS: Jurnal Studi Keislaman,"Arts, Humanities, Economics, Econometrics & Finance, Education, Law, Crime, Criminology & Criminal Justice, Social Sciences"
AT TADIB,"Religion, Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences"
Jurnal Pendidikan Sains | Pendidikan Kimia,"Chemistry, Education"
Gontor AGROTECH Science Journal,"Agriculture, Biological Sciences & Forestry, Education"
JURNAL PENELITIAN,"Religion, Education"
LingTera,"Education, Languange, Linguistic, Communication & Media"
Akademika Jurnal Teknologi Pendidikan,"Computer Science & IT, Education"
SISFORMA,Education
Jurnal Pendidikan Fisika,"Education, Physics"
Jurnal Geosaintek,"Earth & Planetary Sciences, Education"
UPEJ   Unnes Physics Education Journal,"Education, Physics"
Jurnal Manajemen Teori dan Terapan,"Decision Sciences, Operations Research & Management , Education"
TADRIS: Jurnal Pendidikan Islam,Education
Jurnal Inovasi Pendidikan Kimia,"Chemical Engineering, Chemistry & Bioengineering, Chemistry, Education"
MEDIA KONSERVASI,"Earth & Planetary Sciences, Education"
Lembaran Ilmu Kependidikan,Education
JUTI: Jurnal Ilmiah Teknologi Informasi,"Computer Science & IT, Dentistry, Education, Library & Information Science"
Indonesian Journal of Early Childhood Education Studies,Education
JURNAL EKONOMI PENDIDIKAN DAN KEWIRAUSAHAAN,"Economics, Econometrics & Finance, Education, Social Sciences"
Euclid Jurnal Pendidikan Matematika,"Economics, Econometrics & Finance, Education, Mathematics, Social Sciences"
Journal of Innovative Science Education,Education
"GUIDENA: Jurnal Ilmu Pendidikan, Psikologi, Bimbingan dan Konseling","Education, Social Sciences"
SEPA: Jurnal Sosial Ekonomi Pertanian dan Agribisnis,Education
Sosial Budaya,"Education, Social Sciences"
"ACTIVE: Journal of Physical Education, Sport, Health and Recreation","Education, Public Health"
BIOMA,"Agriculture, Biological Sciences & Forestry, Education"
Hisbah: Jurnal Bimbingan Konseling dan Dakwah Islam,"Religion, Education, Social Sciences"
MAJALAH BIAM,Education
Potensia,Education
Al-Khwarizmi: Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam,"Education, Mathematics"
DIDAKTIKA RELIGIA,"Education, Social Sciences"
Innovative Journal of Curriculum and Educational Technology,"Computer Science & IT, Education"
LENSA,Education
Jurnal Sains Dasar,Education
Phenomenon : Jurnal Pendidikan MIPA,"Chemistry, Education, Mathematics, Physics"
"JETL (Journal Of Education, Teaching and Learning)","Aerospace Engineering, Education, Social Sciences"
Ar-Raniry,"Religion, Education"
PAX HUMANA,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences, Other"
AWLADY Jurnal Pendidikan Anak,Education
Rechtsidee,Education
Indonesian Journal of Curriculum and Educational Technology Studies,"Computer Science & IT, Education"
Tarbiyatuna,"Religion, Arts, Humanities, Education, Social Sciences, Other"
Halaqa: Islamic Education Journal,Education
Sainteknol,Education
SEJ (Science Education Journal),Education
Jurnal MUDARRISUNA: Media Kajian Pendidikan Agama Islam,Education
Jurnal Ilmiah Pendidikan Lingkungan dan Pembangunan,"Education, Environmental Science"
Lisanu Ad-Dhod,"Religion, Education"
AL-ISHLAH: Jurnal Pendidikan,"Education, Languange, Linguistic, Communication & Media, Social Sciences"
Reflektika,"Religion, Education"
Performance,Education
The Journal of Educational Development,Education
Jurnal Pemberdayaan Masyarakat Madani (JPMM),"Arts, Humanities, Economics, Econometrics & Finance, Education, Social Sciences, Other"
Al-Bidayah: Jurnal Pendidikan Dasar Islam,"Education, Languange, Linguistic, Communication & Media, Neuroscience, Social Sciences, Other"
Jurnal Keuangan dan Bisnis,"Economics, Econometrics & Finance, Education"
Muallimuna : Jurnal Madrasah Ibtidaiyah,Education
JPPI (Jurnal Penelitian Pendidikan Indonesia),Education
Inspiratif Pendidikan,"Education, Social Sciences"
Science and Physics Education Journal (SPEJ),Education
Jurnal Cendekia : Jurnal Pendidikan Matematika,"Education, Mathematics"
Natural: Jurnal Ilmiah Pendidikan IPA,Education
Jurnal Pendidikan Sekolah Dasar,Education
Jurnal Ilmiah Setrum,Education
JOURNAL OF EDUCATIONAL SCIENCES,Education
Jurnal Numeracy,"Education, Mathematics"
AL-HAYAT,"Education, Social Sciences"
Empowerment,Education
JURNAL FOKUS KONSELING,"Education, Social Sciences"
"JMKSP (Jurnal Manajemen, Kepemimpinan, dan Supervisi Pendidikan)","Education, Social Sciences"
Bioedukasi: Jurnal Pendidikan Biologi,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Education, Immunology & microbiology"
WACANA AKADEMIKA: Majalah Ilmiah Kependidikan,Education
Jurnal Mercumatika : Jurnal Penelitian Matematika dan Pendidikan Matematika,"Education, Mathematics"
Jurnal Kesehatan Vokasional,"Computer Science & IT, Education, Health Professions, Nursing, Public Health"
AKSIOMA,"Education, Mathematics"
Suska Journal of Mathematics Education,"Education, Mathematics"
Tarbawi : Jurnal Ilmu Pendidikan,Education
"ELINVO (Electronics, Informatics, and Vocational Education)","Computer Science & IT, Education, Electrical & Electronics Engineering"
Edumatika : Jurnal Riset Pendidikan Matematika,Education
PEDAGOGIK : JURNAL PENDIDIKAN,Education
IJoLE: International Journal of Language Education,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences"
Tunas Siliwangi : Jurnal Program Studi Pendidikan Guru PAUD STKIP Siliwangi Bandung,Education
Islamic Management: Jurnal Manajemen Pendidikan Islam,Education
EDUMATICA | Journal Pendidikan Matematika,"Education, Mathematics"
Edumatsains,"Agriculture, Biological Sciences & Forestry, Chemistry, Education, Mathematics, Physics"
BIOMA,"Agriculture, Biological Sciences & Forestry, Education"
Jurnal Zarah,"Chemistry, Education"
Gelanggang Olahraga: Jurnal Pendidikan Jasmani dan Olahraga (JPJO),Education
EDUDEENA: JOURNAL OF ISLAMIC RELIGIOUS EDUCATION,"Religion, Humanities, Education"
Jurnal Biotek,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Education"
JIEET (Journal of Information Engineering and Educational Technology),"Computer Science & IT, Engineering"
Jurnal Elektro dan Telekomunikasi Terapan,"Computer Science & IT, Control & Systems Engineering, Education, Electrical & Electronics Engineering, Engineering"
DIDAKTIKA BIOLOGI: Jurnal Penelitian Pendidikan Biologi,Education
JOURNAL OF TEACHING AND LEARNING IN ELEMENTARY EDUCATION (JTLEE),Education
IJEE (Indonesian Journal of English Education),"Education, Languange, Linguistic, Communication & Media"
